name,address,source,category,price_range,year,notes
Dip Fried Chicken,"120 Bukit Merah Lane 1, #01-01, Alexandra Village Food Centre, Singapore 150120",EatBook,Hawker - Western,$8-10,2025,Ex-MBS chef fried chicken
Bateel,"391 Orchard Road, Ngee Ann City, Takashimaya Food Hall, Singapore 238873",EatBook,Confectionery,$15-30,2025,Dubai-famous organic dates
Kikanbo,"1 HarbourFront Walk, #B2-36, VivoCity, Singapore 098585",EatBook,Restaurant - Ramen,$18-23,2025,Tokyo's spicy ramen
Udon Shin,"391 Orchard Road, #B2-32, Takashimaya Shopping Centre, Singapore 238873",EatBook,Restaurant - Japanese,$24-30,2025,Viral carbonara udon from Tokyo
Bac Viet,"412 Bedok North Avenue 2, #01-122, Singapore 460412",EatBook,Restaurant - Vietnamese,$11-15,2025,4.9-star authentic Vietnamese
Soft Spot,"2 Fowlie Road, #01-16, Singapore 428505",EatBook,Cafe - Desserts,$9-14,2025,Bangkok viral acai soft serve
5:59+ Cafe and Bistro,"313 Orchard Road, #01-28, 313@Somerset, Singapore 238895",EatBook,Cafe - Western/Chinese,$25-40,2025,Panda-themed cafe from Chengdu
Shin Katsu,"84/86 Tanjong Pagar Road, Singapore 088505",EatBook,Restaurant - Japanese,$38-43,2025,Ex-Ma Maison chef tonkatsu
Paparch,"8 Arab Street, #01-03, Singapore 199745",EatBook,Bakery - Desserts,$9-10,2025,Viral burnt cheesecakes
Yo-Chi Singapore,"181 Orchard Road, #01-06/19/20, Orchard Central, Singapore 238896",EatBook,Cafe - Desserts,$10-15,2025,Famous Aussie froyo chain
Pierre Herme Singapore,"8 Sentosa Gateway, #01-234/234A, Weave, Singapore 098269",EatBook,Cafe - Desserts,$9-20,2025,World-famous French patisserie
Pawa Bakery,Multiple outlets,EatBook,Bakery,$2-4,2025,Best shio pan in Singapore
Jungle,"Ann Siang Hill",Michelin Bib Gourmand,Restaurant - Thai,$30-50,2025,Modern Thai gastrobar - NEW 2025
Lao Fu Zi Fried Kway Teow,Old Airport Road Food Centre #01-12,Michelin Bib Gourmand,Hawker - Kway Teow,$4-6,2025,NEW 2025 entry
Nam Sing Hokkien Fried Mee,Old Airport Road Food Centre,Michelin Bib Gourmand,Hawker - Hokkien Mee,$5-8,2025,Returned 2025
Sin Heng Claypot Bak Koot Teh,"439 Joo Chiat Rd, Singapore 427654",Michelin Bib Gourmand,Restaurant - Bak Kut Teh,$15-25,2025,NEW 2025
Song Kee Teochew Fish Porridge,Multiple locations,Michelin Bib Gourmand,Hawker - Porridge,$5-10,2025,NEW 2025
Wok Hei Hor Fun,Singapore,Michelin Bib Gourmand,Hawker - Hor Fun,$5-8,2025,NEW 2025
To-Ricos Kway Chap,Old Airport Road Food Centre #01-135,Michelin Bib Gourmand,Hawker - Kway Chap,$5-8,2025,NEW 2025
Ji Ji Noodle House,Hong Lim Food Centre #02-48/49/50,Michelin Bib Gourmand,Hawker - Wanton Mee,$4-6,2025,Promoted from Selected - since 1965
Boon Tong Kee,Multiple outlets,Michelin Bib Gourmand,Restaurant - Chicken Rice,$8-15,2025,Promoted 2025
Kotuwa,"2 Dickson Rd, Wanderlust Hotel, Singapore 209494",Michelin Bib Gourmand,Restaurant - Sri Lankan,$30-50,2025,Relocated
MP Thai Vision Exchange,"Vision Exchange, 2 Venture Dr, #02-42, Singapore 608526",Michelin Bib Gourmand,Restaurant - Thai,$10-15,2024,NEW 2024
Delhi Lahori,"Tekka Centre, 665 Buffalo Rd, #01-266, Singapore 210665",Michelin Bib Gourmand,Hawker - Indian,$8-12,2024,NEW 2024
Song Fish Soup,"Clementi 448 Market & Food Centre, #01-38, Singapore 120448",Michelin Bib Gourmand,Hawker - Fish Soup,$6-8,2024,NEW 2024
Jalan Sultan Prawn Mee,Jalan Sultan,Michelin Bib Gourmand,Hawker - Prawn Mee,$5-8,2024,Promoted 2024
Ru Ji Kitchen,Multiple outlets,Michelin Bib Gourmand,Hawker - Fishball Noodles,$4-6,2024,NEW 2024
Jason Penang Cuisine,Singapore,Michelin Bib Gourmand,Restaurant - Penang,$15-25,2024,NEW 2024
Fico,Singapore,Michelin Bib Gourmand,Restaurant - Italian,$30-50,2024,NEW 2024
Allauddin's Briyani,Tekka Centre #01-04,Time Out,Hawker - Indian,$6-8,2023,Time Out 50 Best Hawkers 2023
Cat In The Hat Bakery,Singapore,Time Out,Bakery,$5-15,2023,Time Out 50 Best Hawkers 2023
Chef Choo Signature,Singapore,Time Out,Hawker - Chinese,$8-15,2023,Time Out 50 Best Hawkers 2023
Chi Le Mah,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Da Dong Prawn Noodles,Singapore,Time Out,Hawker - Prawn Noodles,$5-8,2023,Time Out 50 Best Hawkers 2023
Danger Close Beverage Co.,Singapore,Time Out,Cafe - Coffee,$5-10,2023,Time Out 50 Best Hawkers 2023
DDSD,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Dong Ji Fried Kway Teow,Singapore,Time Out,Hawker - Kway Teow,$4-6,2023,Time Out 50 Best Hawkers 2023
Eddy's,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Gandhi Restaurant,Singapore,Time Out,Restaurant - Indian,$10-20,2023,Time Out 50 Best Hawkers 2023
Generation Coffee Roasters,Singapore,Time Out,Cafe - Coffee,$5-10,2023,Time Out 50 Best Hawkers 2023
Golden Nur,Singapore,Time Out,Hawker - Indian,$5-10,2023,Time Out 50 Best Hawkers 2023
Harry's Eurasian Pies,Singapore,Time Out,Hawker - Eurasian,$5-10,2023,Time Out 50 Best Hawkers 2023
Hoo Kee Bak Chang,Amoy Street Food Centre #01-18,Time Out,Hawker - Rice Dumplings,$3-5,2023,Time Out 50 Best Hawkers 2023
Hougang Oyster Omelette & Fried Kway Teow,Singapore,Time Out,Hawker,$4-8,2023,Time Out 50 Best Hawkers 2023
J2 Famous Crispy Curry Puff,Amoy Street Food Centre #01-21,Time Out,Hawker - Snacks,$2-3,2023,Time Out 50 Best Hawkers 2023
JB Ah Meng,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Jian Bo Tiong Bahru Shui Kueh,Tiong Bahru Market #02-05,Time Out,Hawker - Kueh,$1-2,2023,Time Out 50 Best Hawkers 2023
Kanaaji Katsu,Singapore,Time Out,Hawker - Japanese,$8-15,2023,Time Out 50 Best Hawkers 2023
La Porpo,Singapore,Time Out,Cafe,$5-10,2023,Time Out 50 Best Hawkers 2023
Loong Fatt Tau Sar Piah,Singapore,Time Out,Bakery,$2-4,2023,Time Out 50 Best Hawkers 2023
Mad Roaster,Singapore,Time Out,Cafe - Coffee,$5-10,2023,Time Out 50 Best Hawkers 2023
Mr and Mrs Mohgan's Super Crispy Roti Prata,Singapore,Time Out,Hawker - Indian,$2-5,2023,Time Out 50 Best Hawkers 2023
Mr Biryani,Singapore,Time Out,Hawker - Indian,$6-10,2023,Time Out 50 Best Hawkers 2023
Mrs Hen,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Niu Bi,Singapore,Time Out,Hawker - Beef,$8-12,2023,Time Out 50 Best Hawkers 2023
Noodle Memories,Singapore,Time Out,Hawker - Noodles,$5-8,2023,Time Out 50 Best Hawkers 2023
Oatla,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Ocean Curry Fish Head,Singapore,Time Out,Hawker - Fish Head Curry,$15-30,2023,Time Out 50 Best Hawkers 2023
One Kueh At A Time,Singapore,Time Out,Hawker - Kueh,$2-5,2023,Time Out 50 Best Hawkers 2023
Oyster Boy,Singapore,Time Out,Hawker - Seafood,$8-15,2023,Time Out 50 Best Hawkers 2023
Pepper Bowl,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Pho Hanoi,Singapore,Time Out,Hawker - Vietnamese,$8-12,2023,Time Out 50 Best Hawkers 2023
Quan Ji,Singapore,Time Out,Hawker,$4-8,2023,Time Out 50 Best Hawkers 2023
Rajarani Thosai,Singapore,Time Out,Hawker - Indian,$3-6,2023,Time Out 50 Best Hawkers 2023
Ratu Lemper,Singapore,Time Out,Hawker - Indonesian,$3-5,2023,Time Out 50 Best Hawkers 2023
Rayyan's Waroeng Upnormal,Singapore,Time Out,Hawker - Indonesian,$5-10,2023,Time Out 50 Best Hawkers 2023
Salt,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Seng Kee Black Chicken Herbal Soup,Singapore,Time Out,Hawker - Soup,$6-10,2023,Time Out 50 Best Hawkers 2023
Simon Road Hokkien Mee (Kovan),Kovan,Time Out,Hawker - Hokkien Mee,$5-8,2023,Time Out 50 Best Hawkers 2023
Soi Aroy,Singapore,Time Out,Hawker - Thai,$6-10,2023,Time Out 50 Best Hawkers 2023
Sungei Road Laksa,Hong Lim Food Centre #02-66,Time Out,Hawker - Laksa,$3-4,2023,Time Out 50 Best Hawkers 2023
Tang Kay Kee Fish Head Bee Hoon,Hong Lim Food Centre #01-70,Time Out,Hawker - Fish,$6-10,2023,Time Out 50 Best Hawkers 2023
Tee Kitchen,Singapore,Time Out,Hawker,$5-10,2023,Time Out 50 Best Hawkers 2023
Traditional Haig Road Putu Piring,Singapore,Time Out,Hawker - Kueh,$2-4,2023,Time Out 50 Best Hawkers 2023
Yusoff Haji Jalal aka Satay Club,Singapore,Time Out,Hawker - Satay,$10-20,2023,Time Out 50 Best Hawkers 2023
Zai Shun Curry Fish Head,Jurong East 253 #01-205,Time Out,Hawker - Fish Head Curry,$15-30,2023,Time Out 50 Best Hawkers 2023
Mama Lemak,Hougang Mall Food Court,Seth Lui,Hawker - Malay,$6-10,2023,Seth Lui Best Hawker 2023
Fa La Seafood,St George's Road,Seth Lui,Restaurant - Zi Char,$30-60,2023,Seth Lui Best 2023
White House Teochew Porridge,1096 Serangoon Road,Seth Lui,Hawker - Porridge,$8-15,2023,Supper till 3am - Seth Lui Best 2023
Pangi Nut,215 Ang Mo Kio Ave 1,Seth Lui,Hawker - Western/Peranakan,$8-9,2023,Ex-chef with Grandma's recipes
Lao Wu Ji Mutton Soup,532 Ang Mo Kio Ave 10,Seth Lui,Hawker - Soup,$6-10,2023,Seth Lui Best 2023
Hui Wei Chilli Ban Mian,Hong Lim Food Centre #01-58,Michelin Bib Gourmand,Hawker - Noodles,$5-8,2023,NEW 2023 Bib Gourmand
LiXin Teochew Fishball Noodles,Singapore,Michelin Bib Gourmand,Hawker - Fishball Noodles,$4-6,2022,NEW 2022 Bib Gourmand
Unagi Tei,Singapore,Michelin Bib Gourmand,Restaurant - Japanese,$25-50,2022,NEW 2022 Bib Gourmand
Kelantan Kway Chap,Singapore,Michelin Bib Gourmand,Hawker - Kway Chap,$5-8,2022,NEW 2022 Bib Gourmand
Cumi Bali,Singapore,Michelin Bib Gourmand,Restaurant - Indonesian,$15-30,2022,NEW 2022 Bib Gourmand
Fool,Singapore,Michelin Bib Gourmand,Restaurant - Wine Bar,$30-50,2022,NEW 2022 from Cloudstreet team
Naeum,"Craig Road",Asia's 50 Best,Restaurant - Korean,$150-268,2022,Modern Korean - Asia's 50 Best
Forma,"New location",Indulgentism,Restaurant - Italian Pasta,$80-150,2022,Best new pasta bar 2022
Ippoh Tempura Bar,Dempsey,Indulgentism,Restaurant - Japanese,$150-200,2022,Best tempura in Singapore
Raw Kitchen Bar,Singapore,Indulgentism,Restaurant - Asian,$50-80,2022,Black Mamba squid ink fried rice
Cenzo,Singapore,Indulgentism,Restaurant - Italian,$50-80,2022,Ex-Salted & Hung chef Drew Nocente
Kaarla Restaurant & Bar,Raffles Place,EatBook/Chope,Restaurant - Australian,$67-160,2022,New Restaurant of the Year 2022
Fat Cow,Singapore,EatBook/Chope,Restaurant - Japanese,$80-150,2022,Best Japanese 2022
The Halia,Singapore Botanic Gardens,EatBook/Chope,Restaurant - Halal,$40-60,2022,Halal Restaurant of the Year 2022
Jypsy One Fullerton,One Fullerton,EatBook/Chope,Restaurant - Japanese,$30-50,2022,Best Alfresco Dining 2022
Da Shi Jia Big Prawn Mee,89 Killiney Road,Michelin Bib Gourmand,Hawker - Prawn Noodles,$8-15,2021,NEW 2021 Bib Gourmand
The Coconut Club,28 Ann Siang Road,Michelin Bib Gourmand,Restaurant - Malay,$15-25,2021,Re-entry 2021 Bib Gourmand
Fei Fei Roasted Noodle,Yuhua Village Market #01-28,Michelin Bib Gourmand,Hawker - Roast/Noodles,$4-8,2021,NEW 2021 Bib Gourmand
Heng Heng Cooked Food,Yuhua Village Market #01-12,Michelin Bib Gourmand,Hawker - Laksa/Prawn Noodles,$5-8,2021,NEW 2021 Bib Gourmand
Lai Heng Handmade Teochew Kueh,Yuhua Market #01-218,Michelin Bib Gourmand,Hawker - Kueh,$2-4,2021,NEW 2021 Bib Gourmand
Soh Kee Cooked Food,Jurong West 505 #01-44,Michelin Bib Gourmand,Hawker - Porridge,$5-8,2021,NEW 2021 Bib Gourmand
Hainan Zi,Chong Pang Market #01-129,Michelin Bib Gourmand,Hawker - Kway Teow,$4-8,2021,NEW 2021 Bib Gourmand
Joo Siah Bak Koot Teh,Kai Xiang Food Centre #01-1215,Michelin Bib Gourmand,Hawker - Bak Kut Teh,$8-15,2021,NEW 2021 Bib Gourmand
Jun Yuan House Of Fish,Old Airport Road #01-69,Michelin Bib Gourmand,Hawker - Fish Soup,$6-10,2021,NEW 2021 Bib Gourmand
Kwang Kee Teochew Fish Porridge,Newton Food Centre #01-20,Michelin Bib Gourmand,Hawker - Porridge,$6-10,2021,NEW 2021 Bib Gourmand
A Noodle Story,Amoy Street Food Centre #01-39,Michelin Bib Gourmand,Hawker - Noodles,$11,2016-2025,Singapore-style ramen - continuous
Alliance Seafood,Newton Food Centre #01-27,Michelin Bib Gourmand,Hawker - Seafood,$30-60,2016-2025,Crabs and seafood - continuous
Anglo Indian,1 Shenton Way #01-08,Michelin Bib Gourmand,Restaurant - Indian,$20-35,2016-2025,Anglo-Indian - continuous
Ah Er Soup,ABC Brickworks #01-143,Michelin Bib Gourmand,Hawker - Soup,$5-10,2016-2025,Chinese herbal soups - continuous
Balestier Road Hoover Rojak,Whampoa Makan Place #01-06,Michelin Bib Gourmand,Hawker - Rojak,$4-6,2016-2021,Removed 2022
Bar-Roque Grill,165 Tanjong Pagar Road,Michelin Bib Gourmand,Restaurant - French,$50-80,2016-2025,French rotisserie - continuous
Beach Road Fish Head Bee Hoon,Whampoa Food Centre #01-46,Michelin Bib Gourmand,Hawker - Fish Soup,$6-10,2016-2021,Removed 2022
Bedok Chwee Kueh,Bedok Interchange #01-19,Michelin Bib Gourmand,Hawker - Kueh,$1-2,2016-2021,Removed 2022
Bismillah Biryani,50A Dunlop Street,Michelin Bib Gourmand,Restaurant - Indian,$12-20,2016-2025,Biryani and kebabs - continuous
Chai Chuan Tou Yang Rou Tang,Bukit Merah View #01-51,Michelin Bib Gourmand,Hawker - Soup,$6-10,2016-2025,Mutton soup - continuous
Chef Kang's Noodle House,11 Toa Payoh Lorong 3,Michelin Bib Gourmand,Hawker - Noodles,$6-8,2016-2021,Removed 2022
Chen's Mapo Tofu,Downtown Gallery #02-29,Michelin Bib Gourmand,Restaurant - Chinese,$15-25,2016-2025,Mapo tofu - continuous
Chey Sua Carrot Cake,Toa Payoh West Market #02-30,Michelin Bib Gourmand,Hawker - Carrot Cake,$3-5,2016-2025,Fried carrot cake - continuous
Chuan Kee Boneless Braised Duck,Ghim Moh Market #01-04,Michelin Bib Gourmand,Hawker - Duck,$5-8,2016-2025,Braised duck - continuous
Depot Road Zhen Shan Mei Claypot Laksa,Alexandra Village #01-75,Michelin Bib Gourmand,Hawker - Laksa,$4-6,2016-2021,Removed 2022
Eminent Frog Porridge,323 Geylang Road,Michelin Bib Gourmand,Hawker - Porridge,$15-30,2016-2025,Frog porridge - continuous
Famous Sungei Road Trishaw Laksa,Hong Lim Food Centre #02-66,Michelin Bib Gourmand,Hawker - Laksa,$3-4,2016-2025,Laksa - continuous
Fresh Taste Big Prawn Noodle,Zion Riverside #01-17,Michelin Bib Gourmand,Hawker - Prawn Noodles,$6-10,2016-2021,Removed 2022
Fu Ming Cooked Food,Redhill Food Centre #01-49,Michelin Bib Gourmand,Hawker - Carrot Cake,$4-6,2016-2025,Fried carrot cake - continuous
Guan Kee Fried Kway Teow,Ghim Moh Market #01-19,Michelin Bib Gourmand,Hawker - Kway Teow,$4-6,2016-2025,Char kway teow - continuous
Hawker Chan,78 Smith Street,Michelin Bib Gourmand,Hawker - Chicken Rice,$4-6,2016-2025,Soy chicken - continuous
Heng,Newton Food Centre #01-28,Michelin Bib Gourmand,Hawker - Carrot Cake,$4-6,2016-2025,Fried carrot cake - continuous
Hjh Maimunah,11 Jalan Pisang,Michelin Bib Gourmand,Restaurant - Malay,$10-20,2016-2025,Nasi Padang - continuous
Hock Hai Curry Chicken Noodle,Albert Centre #01-104,Michelin Bib Gourmand,Hawker - Noodles,$5-8,2016-2021,Removed 2022
Hong Heng Fried Sotong Prawn Mee,Tiong Bahru Market #02-82,Michelin Bib Gourmand,Hawker - Hokkien Mee,$5-8,2016-2025,Hokkien mee - continuous
Hong Kee Beef Noodle,Amoy Street Food Centre #01-42,Michelin Bib Gourmand,Hawker - Beef Noodles,$6-10,2016-2025,Hainanese beef noodles - continuous
Hong Kong Yummy Soup,Alexandra Village,Michelin Bib Gourmand,Hawker - Soup,$6-10,2016-2025,Double boiled soups - continuous
Indocafe The White House,35 Scotts Road,Michelin Bib Gourmand,Restaurant - Peranakan,$30-50,2016-2025,Peranakan - continuous
Ka-Soh Restaurant,2 College Road,Michelin Bib Gourmand,Restaurant - Chinese,$20-40,2016-2021,Removed 2022
Koh Brother Pig's Organ Soup,Tiong Bahru Market #02-29,Michelin Bib Gourmand,Hawker - Soup,$5-8,2016-2025,Pig's organ soup - continuous
Kok Sen Restaurant,30 Keong Saik Road,Michelin Bib Gourmand,Restaurant - Zi Char,$30-50,2016-2025,Zi char legend - continuous
Lagnaa Barefoot Dining,6 Upper Dickson Road,Michelin Bib Gourmand,Restaurant - Indian,$20-40,2016-2025,Indian - continuous
Lian He Ben Ji Claypot Rice,Chinatown Complex #02-197/198/199,Michelin Bib Gourmand,Hawker - Rice,$8-20,2016-2025,Claypot rice - continuous
Man Man Japanese Unagi,1 Keong Saik Road,Michelin Bib Gourmand,Restaurant - Japanese,$30-60,2016-2025,Unagi specialist - continuous
Muthu's Curry,138 Race Course Road,Michelin Bib Gourmand,Restaurant - Indian,$15-30,2016-2025,Fish head curry - continuous
Na Na Homemade Curry,Bukit Merah View #01-51,Michelin Bib Gourmand,Hawker - Curry,$10-20,2016-2025,Fish head curry - continuous
New Lucky Claypot Rice,44 Holland Drive,Michelin Bib Gourmand,Hawker - Rice,$8-20,2016-2025,Claypot rice - continuous
Outram Park Fried Kway Teow Mee,Hong Lim Food Centre #02-17,Michelin Bib Gourmand,Hawker - Kway Teow,$4-6,2016-2025,Char kway teow - continuous
Shi Hui Yuan,Mei Ling Market #02-33,Michelin Bib Gourmand,Hawker - Hor Fun,$5-8,2016-2025,Ipoh hor fun - continuous
Sik Bao Sin,592 Geylang Road,Michelin Bib Gourmand,Restaurant - Cantonese,$30-60,2016-2025,Cantonese - continuous
Sin Huat Eating House,659 Lorong 35 Geylang,Michelin Bib Gourmand,Restaurant - Seafood,$50-100,2016-2025,Crab specialist - continuous
Sin Kee Famous Cantonese Chicken Rice,40 Holland Drive,Michelin Bib Gourmand,Hawker - Chicken Rice,$4-6,2016-2021,Removed 2022
Song Fa Bak Kut Teh,11 New Bridge Road,Michelin Bib Gourmand,Restaurant - Bak Kut Teh,$10-20,2016-2025,Pork rib soup - continuous
Tai Wah Pork Noodle,Hong Lim Food Centre #02-16,Michelin Bib Gourmand,Hawker - Noodles,$5-8,2016-2025,Bak chor mee - continuous
The Blue Ginger,97 Tanjong Pagar Road,Michelin Bib Gourmand,Restaurant - Peranakan,$30-50,2016-2025,Peranakan - continuous
Tian Tian Hainanese Chicken Rice,Maxwell Food Centre #01-10/11,Michelin Bib Gourmand,Hawker - Chicken Rice,$4-6,2016-2025,Anthony Bourdain's favorite
Tiong Bahru Hainanese Boneless Chicken Rice,Tiong Bahru Market #02-82,Michelin Bib Gourmand,Hawker - Chicken Rice,$4-6,2016-2025,Hainanese chicken - continuous
Tiong Bahru Yi Sheng Fried Hokkien Prawn Mee,ABC Brickworks #01-13,Michelin Bib Gourmand,Hawker - Hokkien Mee,$5-8,2016-2025,Hokkien mee - continuous
True Blue Cuisine,47/49 Armenian Street,Michelin Bib Gourmand,Restaurant - Peranakan,$30-50,2016-2025,Peranakan - continuous
Whole Earth,76 Peck Seah Street,Michelin Bib Gourmand,Restaurant - Vegetarian,$20-35,2016-2025,Vegetarian Peranakan - continuous
Yhingthai Palace,36 Purvis Street,Michelin Bib Gourmand,Restaurant - Thai,$20-40,2016-2025,Thai - continuous
Zaffron Kitchen,137 East Coast Road,Michelin Bib Gourmand,Restaurant - Indian,$20-40,2016-2021,Removed 2022
Mangiamo Pizzeria,Singapore,Seth Lui,Restaurant - Pizza,$15-25,2020,Writers' Pick 2020
WellSmoocht,Singapore,Seth Lui,Cafe - Health,$10-20,2020,Writers' Pick 2020
Birdhaus,Singapore,EatBook Top 50,Hawker - Western,$8-15,2020,Best Hawker 2020
Headless Baker,Buona Vista,EatBook Top 50,Bakery,$5-12,2020,Best Hawker 2020
Jiak Song Mee Hoon Kway,Singapore,EatBook Top 50,Hawker - Noodles,$5-8,2020,Best Hawker 2020
Jia Li Seafood Soup,Singapore,EatBook Top 50,Hawker - Seafood Soup,$6-12,2020,Best Hawker 2020
Mad Roaster,Singapore,EatBook Top 50,Cafe - Coffee,$5-10,2020,Best Hawker 2020
The Patio (Fro Roll),Singapore,EatBook Top 50,Hawker - Desserts,$5-10,2020,Best Hawker 2020
San Pin Pao Fan,Singapore,EatBook Top 50,Hawker - Seafood Soup,$8-15,2020,Best Hawker 2020
Skirt & Dirt,Singapore,EatBook Top 50,Hawker - Western,$10-18,2020,Best Hawker 2020
TORCHED,Clementi,EatBook Top 50,Hawker - Western,$8-15,2020,Best Hawker 2020
Yakiniku Warrior,Singapore,EatBook Top 50,Hawker - Japanese,$10-20,2020,Best Hawker 2020
8ASH,Ann Siang Hill,EatBook Top 50,Restaurant - Western,$30-50,2020,Best Restaurant 2020
Menbaka Fire Ramen,Singapore,EatBook Top 50,Restaurant - Ramen,$15-25,2020,Best Restaurant 2020
Miznon,Singapore,EatBook Top 50,Restaurant - Israeli,$15-25,2020,Best Restaurant 2020
Overrice,Arab Street,EatBook Top 50,Restaurant - Middle Eastern,$15-25,2020,Best Restaurant 2020
Rappu,Singapore,EatBook Top 50,Restaurant - Japanese,$20-35,2020,Best Restaurant 2020
Soi Candy,Singapore,EatBook Top 50,Restaurant - Thai,$20-35,2020,Best Restaurant 2020
Shrimp Prawn Seafood,Singapore,EatBook Top 50,Restaurant - Seafood,$30-50,2020,Best Restaurant 2020
SSAK3,Singapore,EatBook Top 50,Restaurant - Korean BBQ,$30-50,2020,Best Restaurant 2020
Sum Dim Sum,Singapore,EatBook Top 50,Restaurant - Dim Sum,$20-35,2020,Best Restaurant 2020
Yanxi Palace Steamboat,Singapore,EatBook Top 50,Restaurant - Steamboat,$30-50,2020,Best Restaurant 2020
Apollo Coffee Bar,Singapore,EatBook Top 50,Cafe,$10-20,2020,Best Cafe 2020
Baker's Bench,Outram,EatBook Top 50,Bakery - Cafe,$8-15,2020,Best Cafe 2020
Bee's Knees,Singapore,EatBook Top 50,Cafe,$15-25,2020,Best Cafe 2020
For The People,Singapore,EatBook Top 50,Cafe,$10-20,2020,Best Cafe 2020
French Fold,Singapore,EatBook Top 50,Cafe - French,$10-20,2020,Best Cafe 2020
Korio,Telok Ayer,EatBook Top 50,Cafe,$10-20,2020,Best Cafe 2020
Kream & Kensho,Singapore,EatBook Top 50,Cafe - Desserts,$10-20,2020,Best Cafe 2020
Maison Sucree,Singapore,EatBook Top 50,Bakery - Cafe,$10-20,2020,Best Cafe 2020
Onalu,Singapore,EatBook Top 50,Cafe - Bagels,$8-15,2020,Best Cafe 2020
PIVOT,Boat Quay,EatBook Top 50,Cafe,$10-20,2020,Best Cafe 2020
Food Capital,Singapore,EatBook Top 50,Buffet,$40-60,2020,Best Buffet 2020
Lao Dong Bei Shi Kao,Singapore,EatBook Top 50,Buffet - BBQ,$30-50,2020,Best Buffet 2020
Peppermint,Singapore,EatBook Top 50,Buffet,$50-80,2020,Best Buffet 2020
Tang Lung,Singapore,EatBook Top 50,Buffet - Chinese,$30-50,2020,Best Buffet 2020
Yi Zi Wei,Singapore,EatBook Top 50,Buffet - Sichuan,$25-40,2020,Best Buffet 2020
Bloom Artisan,Singapore,EatBook Top 50,Desserts,$8-15,2020,Best Dessert 2020
Carmen's Best,Singapore,EatBook Top 50,Desserts - Ice Cream,$8-15,2020,Best Dessert 2020
Dolc Patisserie,Singapore,EatBook Top 50,Desserts - Pastry,$8-15,2020,Best Dessert 2020
Durian Lab,Singapore,EatBook Top 50,Desserts - Durian,$10-20,2020,Best Dessert 2020
Guilt,Singapore,EatBook Top 50,Desserts - Cookies,$5-12,2020,Best Dessert 2020
KKI Sweets,Singapore,EatBook Top 50,Desserts - Japanese,$10-18,2020,Best Dessert 2020
LUNA,Amoy Street,EatBook Top 50,Desserts,$8-15,2020,Best Dessert 2020
Mel Pot,Singapore,EatBook Top 50,Desserts,$8-15,2020,Best Dessert 2020
Simple Cafe,Singapore,EatBook Top 50,Cafe - Desserts,$8-15,2020,Best Dessert 2020
